sample_idx,frame_path,active,is_stale,selected_y,selected_h,selected_y_top_frac,body_shape,motion_x,motion_y,target_lost_frames,instant_adopted,switch_adopted,candidate_count,accepted_count
0,/workspace/artifacts/real_apex_test/_gif_frames/frame_000.png,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,False,False,16,2
1,/workspace/artifacts/real_apex_test/_gif_frames/frame_001.png,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,False,False,1,0
2,/workspace/artifacts/real_apex_test/_gif_frames/frame_002.png,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,False,False,1,0
3,/workspace/artifacts/real_apex_test/_gif_frames/frame_003.png,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,False,False,1,0
4,/workspace/artifacts/real_apex_test/_gif_frames/frame_004.png,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5,False,False,3,3
5,/workspace/artifacts/real_apex_test/_gif_frames/frame_005.png,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6,False,False,1,0
6,/workspace/artifacts/real_apex_test/_gif_frames/frame_006.png,True,False,147.0,266.0,0.32666666666666666,0.7829168448985719,284.78538461538466,234.3825394352483,0,False,False,3,3
7,/workspace/artifacts/real_apex_test/_gif_frames/frame_007.png,False,True,147.0,266.0,0.32666666666666666,0.7829168448985719,284.78538461538466,234.3825394352483,1,False,False,7,4
8,/workspace/artifacts/real_apex_test/_gif_frames/frame_008.png,False,True,147.0,266.0,0.32666666666666666,0.7829168448985719,284.78538461538466,234.3825394352483,2,False,False,9,6
9,/workspace/artifacts/real_apex_test/_gif_frames/frame_009.png,False,True,147.0,266.0,0.32666666666666666,0.7829168448985719,284.78538461538466,234.3825394352483,3,False,False,10,5
10,/workspace/artifacts/real_apex_test/_gif_frames/frame_010.png,False,True,147.0,266.0,0.32666666666666666,0.7829168448985719,284.78538461538466,234.3825394352483,4,False,False,10,4
11,/workspace/artifacts/real_apex_test/_gif_frames/frame_011.png,False,True,147.0,266.0,0.32666666666666666,0.7829168448985719,284.78538461538466,234.3825394352483,4,False,False,12,6
12,/workspace/artifacts/real_apex_test/_gif_frames/frame_012.png,False,True,147.0,266.0,0.32666666666666666,0.7829168448985719,284.78538461538466,234.3825394352483,5,False,False,10,5
13,/workspace/artifacts/real_apex_test/_gif_frames/frame_013.png,False,True,147.0,266.0,0.32666666666666666,0.7829168448985719,284.78538461538466,234.3825394352483,6,False,False,13,8
14,/workspace/artifacts/real_apex_test/_gif_frames/frame_014.png,False,True,147.0,266.0,0.32666666666666666,0.7829168448985719,284.78538461538466,234.3825394352483,7,False,False,5,2
15,/workspace/artifacts/real_apex_test/_gif_frames/frame_015.png,False,True,147.0,266.0,0.32666666666666666,0.7829168448985719,284.78538461538466,234.3825394352483,8,False,False,1,0
16,/workspace/artifacts/real_apex_test/_gif_frames/frame_016.png,False,True,147.0,266.0,0.32666666666666666,0.7829168448985719,284.78538461538466,234.3825394352483,9,False,False,8,3
17,/workspace/artifacts/real_apex_test/_gif_frames/frame_017.png,True,False,70.0,356.0,0.15555555555555556,0.7671584615384617,273.51230595852167,221.49642020780843,0,True,False,1,0
18,/workspace/artifacts/real_apex_test/_gif_frames/frame_018.png,False,True,70.0,356.0,0.15555555555555556,0.7671584615384617,273.51230595852167,221.49642020780843,1,False,False,2,2
19,/workspace/artifacts/real_apex_test/_gif_frames/frame_019.png,False,True,70.0,356.0,0.15555555555555556,0.7671584615384617,273.51230595852167,221.49642020780843,1,False,False,1,0
20,/workspace/artifacts/real_apex_test/_gif_frames/frame_020.png,False,True,70.0,356.0,0.15555555555555556,0.7671584615384617,273.51230595852167,221.49642020780843,1,False,False,2,2
21,/workspace/artifacts/real_apex_test/_gif_frames/frame_021.png,False,True,70.0,356.0,0.15555555555555556,0.7671584615384617,273.51230595852167,221.49642020780843,1,False,False,2,1
22,/workspace/artifacts/real_apex_test/_gif_frames/frame_022.png,False,True,70.0,356.0,0.15555555555555556,0.7671584615384617,273.51230595852167,221.49642020780843,2,False,False,6,4
23,/workspace/artifacts/real_apex_test/_gif_frames/frame_023.png,False,True,70.0,356.0,0.15555555555555556,0.7671584615384617,273.51230595852167,221.49642020780843,3,False,False,7,3
24,/workspace/artifacts/real_apex_test/_gif_frames/frame_024.png,False,True,70.0,356.0,0.15555555555555556,0.7671584615384617,273.51230595852167,221.49642020780843,4,False,False,1,0
25,/workspace/artifacts/real_apex_test/_gif_frames/frame_025.png,False,True,70.0,356.0,0.15555555555555556,0.7671584615384617,273.51230595852167,221.49642020780843,4,False,False,8,3
26,/workspace/artifacts/real_apex_test/_gif_frames/frame_026.png,True,False,171.0,243.0,0.38,0.8138245682888541,283.78833428620527,239.04000000000002,0,True,False,9,2
27,/workspace/artifacts/real_apex_test/_gif_frames/frame_027.png,True,False,143.0,272.0,0.31777777777777777,0.778344109630527,277.41554972167444,233.41093207968095,0,True,False,2,2
28,/workspace/artifacts/real_apex_test/_gif_frames/frame_028.png,False,True,143.0,272.0,0.31777777777777777,0.778344109630527,277.41554972167444,233.41093207968095,1,False,False,1,0
29,/workspace/artifacts/real_apex_test/_gif_frames/frame_029.png,False,True,143.0,272.0,0.31777777777777777,0.778344109630527,277.41554972167444,233.41093207968095,1,False,False,3,0
30,/workspace/artifacts/real_apex_test/_gif_frames/frame_030.png,False,True,143.0,272.0,0.31777777777777777,0.778344109630527,277.41554972167444,233.41093207968095,1,False,False,5,3
31,/workspace/artifacts/real_apex_test/_gif_frames/frame_031.png,True,False,174.0,241.0,0.38666666666666666,0.8127029720279721,279.8444050178726,241.48000000000002,0,True,False,7,3
32,/workspace/artifacts/real_apex_test/_gif_frames/frame_032.png,True,False,174.0,240.0,0.38666666666666666,0.7950558068105147,282.79980999313125,241.2423332754599,0,True,False,8,3
33,/workspace/artifacts/real_apex_test/_gif_frames/frame_033.png,False,True,174.0,240.0,0.38666666666666666,0.7950558068105147,282.79980999313125,241.2423332754599,1,False,False,11,4
34,/workspace/artifacts/real_apex_test/_gif_frames/frame_034.png,True,False,145.0,271.0,0.32222222222222224,0.7910043406593408,283.52151251330514,234.005172124569,0,True,False,3,1
35,/workspace/artifacts/real_apex_test/_gif_frames/frame_035.png,False,True,145.0,271.0,0.32222222222222224,0.7910043406593408,283.52151251330514,234.005172124569,1,False,False,9,2
36,/workspace/artifacts/real_apex_test/_gif_frames/frame_036.png,False,True,145.0,271.0,0.32222222222222224,0.7910043406593408,283.52151251330514,234.005172124569,2,False,False,7,3
37,/workspace/artifacts/real_apex_test/_gif_frames/frame_037.png,False,True,145.0,271.0,0.32222222222222224,0.7910043406593408,283.52151251330514,234.005172124569,3,False,False,1,0
38,/workspace/artifacts/real_apex_test/_gif_frames/frame_038.png,False,True,145.0,271.0,0.32222222222222224,0.7910043406593408,283.52151251330514,234.005172124569,3,False,False,1,0
39,/workspace/artifacts/real_apex_test/_gif_frames/frame_039.png,False,True,145.0,271.0,0.32222222222222224,0.7910043406593408,283.52151251330514,234.005172124569,4,False,False,1,0
40,/workspace/artifacts/real_apex_test/_gif_frames/frame_040.png,False,True,145.0,271.0,0.32222222222222224,0.7910043406593408,283.52151251330514,234.005172124569,5,False,False,2,1
41,/workspace/artifacts/real_apex_test/_gif_frames/frame_041.png,False,True,145.0,271.0,0.32222222222222224,0.7910043406593408,283.52151251330514,234.005172124569,5,False,False,1,0
42,/workspace/artifacts/real_apex_test/_gif_frames/frame_042.png,False,True,145.0,271.0,0.32222222222222224,0.7910043406593408,283.52151251330514,234.005172124569,5,False,False,1,0
43,/workspace/artifacts/real_apex_test/_gif_frames/frame_043.png,False,True,145.0,271.0,0.32222222222222224,0.7910043406593408,283.52151251330514,234.005172124569,5,False,False,4,3
44,/workspace/artifacts/real_apex_test/_gif_frames/frame_044.png,False,True,145.0,271.0,0.32222222222222224,0.7910043406593408,283.52151251330514,234.005172124569,5,False,False,7,4
45,/workspace/artifacts/real_apex_test/_gif_frames/frame_045.png,False,True,145.0,271.0,0.32222222222222224,0.7910043406593408,283.52151251330514,234.005172124569,6,False,False,11,3
46,/workspace/artifacts/real_apex_test/_gif_frames/frame_046.png,False,True,145.0,271.0,0.32222222222222224,0.7910043406593408,283.52151251330514,234.005172124569,6,False,False,7,3
47,/workspace/artifacts/real_apex_test/_gif_frames/frame_047.png,False,True,145.0,271.0,0.32222222222222224,0.7910043406593408,283.52151251330514,234.005172124569,6,False,False,1,0
48,/workspace/artifacts/real_apex_test/_gif_frames/frame_048.png,False,True,145.0,271.0,0.32222222222222224,0.7910043406593408,283.52151251330514,234.005172124569,6,False,False,4,3
49,/workspace/artifacts/real_apex_test/_gif_frames/frame_049.png,True,False,171.0,244.0,0.38,0.8047426310415249,263.98489464202976,239.32,0,True,False,6,5
50,/workspace/artifacts/real_apex_test/_gif_frames/frame_050.png,True,False,165.0,251.0,0.36666666666666664,0.8049578093645486,263.3942436622897,235.91300131578456,0,True,False,9,5
51,/workspace/artifacts/real_apex_test/_gif_frames/frame_051.png,True,False,170.0,255.0,0.37777777777777777,0.7522727453580902,271.3058868675706,241.4,0,True,False,7,3
52,/workspace/artifacts/real_apex_test/_gif_frames/frame_052.png,False,True,170.0,255.0,0.37777777777777777,0.7522727453580902,271.3058868675706,241.4,1,False,False,14,5
53,/workspace/artifacts/real_apex_test/_gif_frames/frame_053.png,True,False,170.0,244.0,0.37777777777777777,0.7755436360031722,271.3058868675706,240.5388361008192,0,True,False,11,3
54,/workspace/artifacts/real_apex_test/_gif_frames/frame_054.png,True,False,171.0,243.0,0.38,0.8056768711018711,271.3058868675706,240.5388361008192,0,True,False,9,5
55,/workspace/artifacts/real_apex_test/_gif_frames/frame_055.png,False,True,171.0,243.0,0.38,0.8056768711018711,271.3058868675706,240.5388361008192,1,False,False,12,4
56,/workspace/artifacts/real_apex_test/_gif_frames/frame_056.png,False,True,171.0,243.0,0.38,0.8056768711018711,271.3058868675706,240.5388361008192,1,False,False,8,4
57,/workspace/artifacts/real_apex_test/_gif_frames/frame_057.png,False,True,171.0,243.0,0.38,0.8056768711018711,271.3058868675706,240.5388361008192,1,False,False,9,3
58,/workspace/artifacts/real_apex_test/_gif_frames/frame_058.png,False,True,171.0,243.0,0.38,0.8056768711018711,271.3058868675706,240.5388361008192,2,False,False,12,6
59,/workspace/artifacts/real_apex_test/_gif_frames/frame_059.png,False,True,171.0,243.0,0.38,0.8056768711018711,271.3058868675706,240.5388361008192,3,False,False,11,4
60,/workspace/artifacts/real_apex_test/_gif_frames/frame_060.png,False,True,171.0,243.0,0.38,0.8056768711018711,271.3058868675706,240.5388361008192,4,False,False,14,2
61,/workspace/artifacts/real_apex_test/_gif_frames/frame_061.png,False,True,171.0,243.0,0.38,0.8056768711018711,271.3058868675706,240.5388361008192,4,False,False,11,4
62,/workspace/artifacts/real_apex_test/_gif_frames/frame_062.png,False,True,171.0,243.0,0.38,0.8056768711018711,271.3058868675706,240.5388361008192,5,False,False,10,4
63,/workspace/artifacts/real_apex_test/_gif_frames/frame_063.png,False,True,171.0,243.0,0.38,0.8056768711018711,271.3058868675706,240.5388361008192,5,False,False,9,3
64,/workspace/artifacts/real_apex_test/_gif_frames/frame_064.png,False,True,171.0,243.0,0.38,0.8056768711018711,271.3058868675706,240.5388361008192,5,False,False,8,2
65,/workspace/artifacts/real_apex_test/_gif_frames/frame_065.png,False,True,171.0,243.0,0.38,0.8056768711018711,271.3058868675706,240.5388361008192,6,False,False,9,0
