sample_idx,frame_path,active,is_stale,selected_y,selected_h,selected_y_top_frac,body_shape,motion_x,motion_y,target_lost_frames,instant_adopted,switch_adopted,candidate_count,accepted_count
0,/workspace/artifacts/real_apex_test/_gif_frames/frame_000.png,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,False,False,16,2
1,/workspace/artifacts/real_apex_test/_gif_frames/frame_001.png,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,False,False,1,0
2,/workspace/artifacts/real_apex_test/_gif_frames/frame_002.png,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,False,False,1,0
3,/workspace/artifacts/real_apex_test/_gif_frames/frame_003.png,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,False,False,1,0
4,/workspace/artifacts/real_apex_test/_gif_frames/frame_004.png,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5,False,False,3,3
5,/workspace/artifacts/real_apex_test/_gif_frames/frame_005.png,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6,False,False,1,0
6,/workspace/artifacts/real_apex_test/_gif_frames/frame_006.png,True,False,142.0,63.0,0.31555555555555553,0.6221237556561086,223.4066666666667,173.5,0,False,False,3,3
7,/workspace/artifacts/real_apex_test/_gif_frames/frame_007.png,False,True,142.0,63.0,0.31555555555555553,0.6221237556561086,223.4066666666667,173.5,1,False,False,7,4
8,/workspace/artifacts/real_apex_test/_gif_frames/frame_008.png,False,True,142.0,63.0,0.31555555555555553,0.6221237556561086,223.4066666666667,173.5,2,False,False,9,6
9,/workspace/artifacts/real_apex_test/_gif_frames/frame_009.png,False,True,142.0,63.0,0.31555555555555553,0.6221237556561086,223.4066666666667,173.5,3,False,False,10,5
10,/workspace/artifacts/real_apex_test/_gif_frames/frame_010.png,False,True,142.0,63.0,0.31555555555555553,0.6221237556561086,223.4066666666667,173.5,4,False,False,10,4
11,/workspace/artifacts/real_apex_test/_gif_frames/frame_011.png,False,True,142.0,63.0,0.31555555555555553,0.6221237556561086,223.4066666666667,173.5,5,False,False,12,6
12,/workspace/artifacts/real_apex_test/_gif_frames/frame_012.png,False,True,142.0,63.0,0.31555555555555553,0.6221237556561086,223.4066666666667,173.5,6,False,False,10,5
13,/workspace/artifacts/real_apex_test/_gif_frames/frame_013.png,False,True,142.0,63.0,0.31555555555555553,0.6221237556561086,223.4066666666667,173.5,7,False,False,13,8
14,/workspace/artifacts/real_apex_test/_gif_frames/frame_014.png,False,True,142.0,63.0,0.31555555555555553,0.6221237556561086,223.4066666666667,173.5,8,False,False,5,2
15,/workspace/artifacts/real_apex_test/_gif_frames/frame_015.png,False,True,142.0,63.0,0.31555555555555553,0.6221237556561086,223.4066666666667,173.5,9,False,False,1,0
16,/workspace/artifacts/real_apex_test/_gif_frames/frame_016.png,False,True,142.0,63.0,0.31555555555555553,0.6221237556561086,223.4066666666667,173.5,10,False,False,8,3
17,/workspace/artifacts/real_apex_test/_gif_frames/frame_017.png,False,True,142.0,63.0,0.31555555555555553,0.6221237556561086,223.4066666666667,173.5,11,False,False,1,0
18,/workspace/artifacts/real_apex_test/_gif_frames/frame_018.png,False,True,142.0,63.0,0.31555555555555553,0.6221237556561086,223.4066666666667,173.5,12,False,False,2,2
19,/workspace/artifacts/real_apex_test/_gif_frames/frame_019.png,False,True,142.0,63.0,0.31555555555555553,0.6221237556561086,223.4066666666667,173.5,13,False,False,1,0
20,/workspace/artifacts/real_apex_test/_gif_frames/frame_020.png,False,True,142.0,63.0,0.31555555555555553,0.6221237556561086,223.4066666666667,173.5,14,False,False,2,2
21,/workspace/artifacts/real_apex_test/_gif_frames/frame_021.png,False,True,142.0,63.0,0.31555555555555553,0.6221237556561086,223.4066666666667,173.5,15,False,False,2,1
22,/workspace/artifacts/real_apex_test/_gif_frames/frame_022.png,False,True,142.0,63.0,0.31555555555555553,0.6221237556561086,223.4066666666667,173.5,16,False,False,6,4
23,/workspace/artifacts/real_apex_test/_gif_frames/frame_023.png,False,True,142.0,63.0,0.31555555555555553,0.6221237556561086,223.4066666666667,173.5,17,False,False,7,3
24,/workspace/artifacts/real_apex_test/_gif_frames/frame_024.png,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18,False,False,1,0
25,/workspace/artifacts/real_apex_test/_gif_frames/frame_025.png,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19,False,False,8,3
26,/workspace/artifacts/real_apex_test/_gif_frames/frame_026.png,True,False,45.0,188.0,0.1,0.8360484084880637,400.20599999999996,139.0,0,False,False,9,2
27,/workspace/artifacts/real_apex_test/_gif_frames/frame_027.png,True,False,45.0,189.0,0.1,0.8364208222811671,400.20599999999996,139.0,0,True,False,2,2
28,/workspace/artifacts/real_apex_test/_gif_frames/frame_028.png,False,True,45.0,189.0,0.1,0.8364208222811671,400.20599999999996,139.0,1,False,False,1,0
29,/workspace/artifacts/real_apex_test/_gif_frames/frame_029.png,False,True,45.0,189.0,0.1,0.8364208222811671,400.20599999999996,139.0,1,False,False,3,0
30,/workspace/artifacts/real_apex_test/_gif_frames/frame_030.png,False,True,45.0,189.0,0.1,0.8364208222811671,400.20599999999996,139.0,2,False,False,5,3
31,/workspace/artifacts/real_apex_test/_gif_frames/frame_031.png,False,True,45.0,189.0,0.1,0.8364208222811671,400.20599999999996,139.0,2,False,False,7,3
32,/workspace/artifacts/real_apex_test/_gif_frames/frame_032.png,False,True,45.0,189.0,0.1,0.8364208222811671,400.20599999999996,139.0,3,False,False,8,3
33,/workspace/artifacts/real_apex_test/_gif_frames/frame_033.png,False,True,45.0,189.0,0.1,0.8364208222811671,400.20599999999996,139.0,3,False,False,11,4
34,/workspace/artifacts/real_apex_test/_gif_frames/frame_034.png,False,True,45.0,189.0,0.1,0.8364208222811671,400.20599999999996,139.0,4,False,False,3,1
35,/workspace/artifacts/real_apex_test/_gif_frames/frame_035.png,False,True,45.0,189.0,0.1,0.8364208222811671,400.20599999999996,139.0,5,False,False,9,2
36,/workspace/artifacts/real_apex_test/_gif_frames/frame_036.png,False,True,45.0,189.0,0.1,0.8364208222811671,400.20599999999996,139.0,6,False,False,7,3
37,/workspace/artifacts/real_apex_test/_gif_frames/frame_037.png,False,True,45.0,189.0,0.1,0.8364208222811671,400.20599999999996,139.0,6,False,False,1,0
38,/workspace/artifacts/real_apex_test/_gif_frames/frame_038.png,False,True,45.0,189.0,0.1,0.8364208222811671,400.20599999999996,139.0,7,False,False,1,0
39,/workspace/artifacts/real_apex_test/_gif_frames/frame_039.png,False,True,45.0,189.0,0.1,0.8364208222811671,400.20599999999996,139.0,8,False,False,1,0
40,/workspace/artifacts/real_apex_test/_gif_frames/frame_040.png,False,True,45.0,189.0,0.1,0.8364208222811671,400.20599999999996,139.0,9,False,False,2,1
41,/workspace/artifacts/real_apex_test/_gif_frames/frame_041.png,False,True,45.0,189.0,0.1,0.8364208222811671,400.20599999999996,139.0,10,False,False,1,0
42,/workspace/artifacts/real_apex_test/_gif_frames/frame_042.png,False,True,45.0,189.0,0.1,0.8364208222811671,400.20599999999996,139.0,11,False,False,1,0
43,/workspace/artifacts/real_apex_test/_gif_frames/frame_043.png,False,True,45.0,189.0,0.1,0.8364208222811671,400.20599999999996,139.0,11,False,False,4,3
44,/workspace/artifacts/real_apex_test/_gif_frames/frame_044.png,False,True,45.0,189.0,0.1,0.8364208222811671,400.20599999999996,139.0,12,False,False,7,4
45,/workspace/artifacts/real_apex_test/_gif_frames/frame_045.png,False,True,45.0,189.0,0.1,0.8364208222811671,400.20599999999996,139.0,12,False,False,11,3
46,/workspace/artifacts/real_apex_test/_gif_frames/frame_046.png,False,True,45.0,189.0,0.1,0.8364208222811671,400.20599999999996,139.0,12,False,False,7,3
47,/workspace/artifacts/real_apex_test/_gif_frames/frame_047.png,False,True,45.0,189.0,0.1,0.8364208222811671,400.20599999999996,139.0,13,False,False,1,0
48,/workspace/artifacts/real_apex_test/_gif_frames/frame_048.png,False,True,45.0,189.0,0.1,0.8364208222811671,400.20599999999996,139.0,13,False,False,4,3
49,/workspace/artifacts/real_apex_test/_gif_frames/frame_049.png,True,False,45.0,185.0,0.1,0.8186108798735512,400.20599999999996,137.5,0,True,False,6,5
50,/workspace/artifacts/real_apex_test/_gif_frames/frame_050.png,True,False,45.0,189.0,0.1,0.8350836049543677,400.20599999999996,139.0,0,True,False,9,5
51,/workspace/artifacts/real_apex_test/_gif_frames/frame_051.png,True,False,45.0,193.0,0.1,0.8258981900452489,400.20599999999996,139.0,0,True,False,7,3
52,/workspace/artifacts/real_apex_test/_gif_frames/frame_052.png,True,False,45.0,193.0,0.1,0.8365480117340287,400.20599999999996,139.0,0,True,False,14,5
53,/workspace/artifacts/real_apex_test/_gif_frames/frame_053.png,True,False,32.0,210.0,0.07111111111111111,1.0,400.20599999999996,137.0,0,True,False,11,3
54,/workspace/artifacts/real_apex_test/_gif_frames/frame_054.png,False,True,32.0,210.0,0.07111111111111111,1.0,400.20599999999996,137.0,1,False,False,9,5
55,/workspace/artifacts/real_apex_test/_gif_frames/frame_055.png,False,True,32.0,210.0,0.07111111111111111,1.0,400.20599999999996,137.0,1,False,False,12,4
56,/workspace/artifacts/real_apex_test/_gif_frames/frame_056.png,False,True,32.0,210.0,0.07111111111111111,1.0,400.20599999999996,137.0,1,False,False,8,4
57,/workspace/artifacts/real_apex_test/_gif_frames/frame_057.png,False,True,32.0,210.0,0.07111111111111111,1.0,400.20599999999996,137.0,2,False,False,9,3
58,/workspace/artifacts/real_apex_test/_gif_frames/frame_058.png,False,True,32.0,210.0,0.07111111111111111,1.0,400.20599999999996,137.0,3,False,False,12,6
59,/workspace/artifacts/real_apex_test/_gif_frames/frame_059.png,False,True,32.0,210.0,0.07111111111111111,1.0,400.20599999999996,137.0,4,False,False,11,4
60,/workspace/artifacts/real_apex_test/_gif_frames/frame_060.png,False,True,32.0,210.0,0.07111111111111111,1.0,400.20599999999996,137.0,4,False,False,14,2
61,/workspace/artifacts/real_apex_test/_gif_frames/frame_061.png,False,True,32.0,210.0,0.07111111111111111,1.0,400.20599999999996,137.0,5,False,False,11,4
62,/workspace/artifacts/real_apex_test/_gif_frames/frame_062.png,False,True,32.0,210.0,0.07111111111111111,1.0,400.20599999999996,137.0,5,False,False,10,4
63,/workspace/artifacts/real_apex_test/_gif_frames/frame_063.png,False,True,32.0,210.0,0.07111111111111111,1.0,400.20599999999996,137.0,5,False,False,9,3
64,/workspace/artifacts/real_apex_test/_gif_frames/frame_064.png,False,True,32.0,210.0,0.07111111111111111,1.0,400.20599999999996,137.0,5,False,False,8,2
65,/workspace/artifacts/real_apex_test/_gif_frames/frame_065.png,False,True,32.0,210.0,0.07111111111111111,1.0,400.20599999999996,137.0,6,False,False,9,0
66,/workspace/artifacts/real_apex_test/_gif_frames/frame_066.png,False,True,32.0,210.0,0.07111111111111111,1.0,400.20599999999996,137.0,7,False,False,6,1
67,/workspace/artifacts/real_apex_test/_gif_frames/frame_067.png,False,True,32.0,210.0,0.07111111111111111,1.0,400.20599999999996,137.0,8,False,False,5,1
68,/workspace/artifacts/real_apex_test/_gif_frames/frame_068.png,False,True,32.0,210.0,0.07111111111111111,1.0,400.20599999999996,137.0,9,False,False,6,2
69,/workspace/artifacts/real_apex_test/_gif_frames/frame_069.png,False,True,32.0,210.0,0.07111111111111111,1.0,400.20599999999996,137.0,10,False,False,4,1
