frame,stale,active,bbox_y,bbox_h,body_shape,torso,overlay_y,motion_y,lost_frames
0,0,0,-1,-1,-1.0,-1.0,-1.0,-1.0,1
10,0,0,-1,-1,-1.0,-1.0,-1.0,-1.0,1
20,0,0,-1,-1,-1.0,-1.0,-1.0,-1.0,2
30,0,0,-1,-1,-1.0,-1.0,-1.0,-1.0,3
40,0,0,-1,-1,-1.0,-1.0,-1.0,-1.0,4
50,0,0,-1,-1,-1.0,-1.0,-1.0,-1.0,5
60,0,0,-1,-1,-1.0,-1.0,-1.0,-1.0,6
70,0,0,-1,-1,-1.0,-1.0,-1.0,-1.0,7
80,0,0,-1,-1,-1.0,-1.0,-1.0,-1.0,8
90,0,0,-1,-1,-1.0,-1.0,-1.0,-1.0,9
100,0,0,-1,-1,-1.0,-1.0,-1.0,-1.0,9
110,0,0,-1,-1,-1.0,-1.0,-1.0,-1.0,10
120,0,0,-1,-1,-1.0,-1.0,-1.0,-1.0,10
130,0,0,-1,-1,-1.0,-1.0,-1.0,-1.0,11
140,0,0,-1,-1,-1.0,-1.0,-1.0,-1.0,11
150,0,0,-1,-1,-1.0,-1.0,-1.0,-1.0,12
160,0,0,-1,-1,-1.0,-1.0,-1.0,-1.0,12
